Rank,Country,Capital,2020 Population,2010 Population,2000 Population,Area (km²)
36,Afghanistan,Kabul,38972230,28189672,19542982,652230
138,Albania,Tirana,2866849,2913399,3182021,28748
34,Algeria,Algiers,43451666,35856344,30774621,2381741
213,American Samoa,Pago Pago,46189,54849,58230,199
203,Andorra,Andorra la Vella,77700,71519,66097,468
42,Angola,Luanda,33428485,23364185,16394062,1246700
224,Anguilla,The Valley,15585,13172,11047,91
201,Antigua and Barbuda,Saint John’s,92664,85695,75055,442
33,Argentina,Buenos Aires,45036032,41100123,37070774,2780400
140,Armenia,Yerevan,2805608,2946293,3168523,29743
198,Aruba,Oranjestad,106585,100341,89101,180
55,Australia,Canberra,25670051,22019168,19017963,7692024
99,Austria,Vienna,8907777,8362829,8010428,83871
91,Azerbaijan,Baku,10284951,9237202,8190337,86600
176,Bahamas,Nassau,406471,373272,325014,13943
154,Bahrain,Manama,1477469,1213645,711442,765
8,Bangladesh,Dhaka,167420951,148391139,129193327,147570
186,Barbados,Bridgetown,280693,274711,264657,430
96,Belarus,Minsk,9633740,9731427,10256483,207600
81,Belgium,Brussels,11561717,10877947,10264343,30528
177,Belize,Belmopan,394921,322106,240406,22966
77,Benin,Porto-Novo,12643123,9445710,6998023,112622
206,Bermuda,Hamilton,64031,63447,61371,54
165,Bhutan,Thimphu,772506,705516,587207,38394
80,Bolivia,Sucre,11936162,10223270,8592656,1098581
137,Bosnia and Herzegovina,Sarajevo,3318407,3811088,4179350,51209
144,Botswana,Gaborone,2546402,2091664,1726985,582000
7,Brazil,Brasilia,213196304,196353492,175873720,8515767
221,British Virgin Islands,Road Town,30910,27556,20104,151
175,Brunei,Bandar Seri Begawan,441725,396053,333926,5765
108,Bulgaria,Sofia,6979175,7592273,8097691,110879
58,Burkina Faso,Ouagadougou,21522626,16116845,11882888,272967
78,Burundi,Bujumbura,12220227,9126605,6307659,27834
73,Cambodia,Phnom Penh,16396860,14363532,12118841,181035
53,Cameroon,Yaounde,26491087,19878036,15091594,475442
39,Canada,Ottawa,37888705,33963412,30683313,9984670
171,Cape Verde,Praia,582640,521212,458251,4033
205,Cayman Islands,George Town,67311,54074,39658,264
117,Central African Rep.,Bangui,5343020,4660067,3759170,622984
69,Chad,N'Djamena,16644701,11894727,8259137,1284000
65,Chile,Santiago,19300315,17004162,15351799,756102
1,China,Beijing,1424929781,1348191368,1264099069,9706961
28,Colombia,Bogota,50930662,44816108,39215135,1141748
163,Comoros,Moroni,806166,656024,536758,1862
223,Cook Islands,Avarua,17029,17212,15897,236
124,Costa Rica,San José,5123105,4622252,3979193,51100
130,Croatia,Zagreb,4096868,4368682,4548434,56594
85,Cuba,Havana,11300698,11290417,11105791,109884
189,Curacao,Willemstad,189288,159380,141424,444
158,Cyprus,Nicosia,1237537,1129686,948237,9251
88,Czechia,Prague,10530953,10464749,10234710,78865
115,Denmark,Copenhagen,5825641,5550849,5340655,43094
160,Djibouti,Djibouti,1090156,919199,742033,23200
204,Dominica,Roseau,71995,68755,68346,751
84,Dominican Republic,Santo Domingo,10999664,9775755,8540791,48671
15,Dem. Rep. Congo,Kinshasa,92853164,66391257,48616317,2344858
67,Ecuador,Quito,17588595,14989585,12626507,276841
14,Egypt,Cairo,107465134,87252413,71371371,1002450
112,El Salvador,San Salvador,6292731,6114034,5958482,21041
152,Eq. Guinea,Malabo,1596049,1094524,684977,28051
132,Eritrea,Asmara,3555868,3147727,2392880,117600
156,Estonia,Tallinn,1329444,1331535,1396877,45227
159,eSwatini,Mbabane,1180655,1099920,1030496,17364
12,Ethiopia,Addis Ababa,117190911,89237791,67031867,1104300
231,Falkland Islands,Stanley,3747,3187,3080,12173
209,Faroe Islands,Tórshavn,52415,48410,45660,1393
162,Fiji,Suva,920422,905169,832509,18272
118,Finland,Helsinki,5529468,5363271,5176209,338424
23,France,Paris,64480053,62444567,58665453,551695
184,French Guiana,Cayenne,290969,228453,164351,83534
183,French Polynesia,Papeete,301920,283788,250927,4167
146,Gabon,Libreville,2292573,1711105,1272935,267668
142,Gambia,Banjul,2573995,1937275,1437539,10689
131,Georgia,Tbilisi,3765912,3836831,4265172,69700
19,Germany,Berlin,83328988,81325090,81551677,357114
47,Ghana,Accra,32180401,25574719,19665502,238533
219,Gibraltar,Gibraltar,32709,31262,27741,6
90,Greece,Athens,10512232,11033783,11038109,131990
208,Greenland,Nuuk,56026,56351,56184,2166086
193,Grenada,Saint George's,123663,114039,107432,344
178,Guadeloupe,Basse-Terre,395642,403072,424067,1628
191,Guam,Hagåtña,169231,164905,160188,549
68,Guatemala,Guatemala City,17362718,14543121,11735894,108889
207,Guernsey,Saint Peter Port,62794,60782,59114,78
75,Guinea,Conakry,13205153,10270728,8336967,245857
149,Guinea-Bissau,Bissau,2015828,1567220,1230849,36125
164,Guyana,Georgetown,797202,747932,759051,214969
82,Haiti,Port-au-Prince,11306801,9842880,8360225,27750
89,Honduras,Tegucigalpa,10121763,8450933,6656725,112492
104,Hong Kong,Hong Kong,7500958,7132438,6731195,1104
94,Hungary,Budapest,9750573,9986825,10202055,93028
179,Iceland,Reykjavík,366669,318333,281462,103000
2,India,New Delhi,1396387127,1240613620,1059633675,3287590
4,Indonesia,Jakarta,271857970,244016173,214072421,1904569
17,Iran,Tehran,87290193,75373855,65544383,1648195
35,Iraq,Baghdad,42556984,31264875,24628858,438317
125,Ireland,Dublin,4946119,4524585,3768950,70273
202,Isle of Man,Douglas,84046,83828,75562,572
98,Israel,Jerusalem,8757489,7328445,6116958,20770
25,Italy,Rome,59500579,59822450,56966397,301336
52,Côte d'Ivoire,Yamoussoukro,26811790,21120042,16799670,322463
139,Jamaica,Kingston,2820436,2733896,2612205,10991
11,Japan,Tokyo,125244761,128105431,126803861,377930
195,Jersey,Saint Helier,108319,96151,86192,116
83,Jordan,Amman,10928721,6931258,5056174,89342
66,Kazakhstan,Nursultan,18979243,16627837,15236253,2724900
27,Kenya,Nairobi,51985780,41517895,30851606,580367
192,Kiribati,Tarawa,126463,107995,88826,811
129,Kuwait,Kuwait City,4360444,2943356,1934901,17818
110,Kyrgyzstan,Bishkek,6424874,5483774,4935182,199951
103,Laos,Vientiane,7319399,6323418,5430853,236800
151,Latvia,Riga,1897052,2101530,2392530,64559
119,Lebanon,Beirut,5662923,4995800,4320642,10452
